code,date,boards,turn,mom5,mom20,lim10,lim20,vol_ratio,log_amt,prev_pct,prev_limit,total_lim,y
002654,2026-05-20,1,30.1513,13.545347467608963,26.01307189542483,2.0,2.0,2.3433702216308134,9.679457066705826,-3.8398,False,55,0
002654,2026-06-11,1,11.9299,2.4730500951173155,-2.4154589371980535,0.0,2.0,2.1357018555620195,9.20283698104762,-1.2105,False,58,0
002654,2026-06-25,1,12.3025,21.45369284876905,26.18757612667477,1.0,1.0,1.397926283388414,9.321063312016152,3.6874,False,82,0
002654,2026-06-30,1,13.1928,22.509631260319196,46.930693069306926,1.0,2.0,1.1968889451672258,9.369074296019354,0.0989,False,115,0
002655,2026-02-10,1,16.8643,10.691823899371073,8.894044856921894,0.0,0.0,8.256119027439413,8.9284849739009,1.346,False,53,0
002655,2026-02-27,1,14.2473,17.260273972602747,27.95216741405082,1.0,1.0,1.1992355687808478,8.926942883734132,-0.1284,False,70,0
002655,2026-04-29,1,25.1517,25.511038430089926,69.61325966850828,0.0,0.0,2.309508377949682,9.42498270363899,7.7606,False,92,0
002655,2026-05-07,1,7.2125,38.26254826254828,90.98666666666668,1.0,1.0,0.5059376221132302,8.959863135730743,3.2678,False,92,1
002655,2026-05-08,2,12.0716,41.13221067717666,107.20673329826406,2.0,2.0,0.9515898558039829,9.227120774875596,10.0154,True,90,0
002655,2026-06-18,1,10.5234,25.693215339233035,23.902297179412614,0.0,0.0,1.716149964576794,9.208382149814579,4.1958,False,78,1
002655,2026-06-22,2,7.6689,41.17469879518069,33.53276353276351,1.0,1.0,1.1487843962993622,9.11609017661556,9.9897,True,123,0
002655,2026-08-04,1,8.8762,0.5310457516339824,-37.74348596003036,0.0,0.0,1.1736419355755772,8.890015429823501,-2.1007,False,124,1
002655,2026-08-05,2,6.7781,14.41251056635673,-27.50401713979646,1.0,1.0,0.8930753676654404,8.809505028568188,10.0134,True,96,0
002655,2026-08-21,1,9.0125,11.120917917034419,48.350353495679514,0.0,2.0,0.9099282151585121,9.079866382634249,-0.1454,False,47,0
002655,2026-09-16,1,8.1245,0.1621621621621614,7.763884850247166,0.0,1.0,1.1697350757926293,9.02124894195456,-3.7429,False,80,1
002655,2026-09-17,2,10.1003,12.967581047381543,18.724519510774613,1.0,2.0,1.6337673674693987,9.161664979064868,10.003,True,45,0
002657,2026-06-01,1,4.7908,0.3628823224468505,-4.015865146256829,0.0,0.0,1.6804987875921542,8.48203392683711,-3.8777,False,109,0
002657,2026-06-10,1,9.0256,12.513601741022853,-3.9479795633999117,1.0,1.0,1.6471529302443226,8.788177580809714,-0.8962,False,64,0
002657,2026-06-22,1,9.2523,1.16009280742459,11.680327868852473,1.0,2.0,1.0376283567507671,8.821512688532147,-4.8031,False,123,0
002658,2025-11-07,1,11.3984,13.205282112845126,15.140415140415158,0.0,0.0,3.1004960810487128,8.57326889884103,0.0,False,50,0
002658,2026-01-23,1,8.8144,13.171759747102215,19.466073414905452,0.0,0.0,1.4182499183592703,8.515980806352655,2.7368,False,84,0
002658,2026-05-13,1,10.1758,10.379464285714278,17.3190984578885,0.0,0.0,2.5111440782923546,8.546051125962357,-0.882,False,104,0
002658,2026-08-14,1,6.4081,13.517241379310335,19.27536231884058,0.0,0.0,3.70991218100285,8.264727890595127,-0.9272,False,51,0
002659,2025-09-26,1,12.0847,12.54071661237785,37.9241516966068,0.0,0.0,2.488611611387256,8.691610363306939,1.6181,False,43,0
002659,2025-11-25,1,4.3986,7.944732297063894,6.473594548551958,0.0,0.0,0.6735666837081375,8.210318741923784,2.5271,False,69,0
002659,2025-12-31,1,8.9336,7.129798903107883,-6.539074960127579,0.0,0.0,5.309361832887521,8.49357397452637,-0.9294,False,51,0
002659,2026-01-12,1,12.9091,13.787375415282384,20.598591549295776,1.0,1.0,1.5478163651018753,8.708628192377157,1.964,False,131,0
002659,2026-07-31,1,6.7872,20.942408376963357,16.66666666666667,0.0,0.0,2.391275742202139,8.25422253389768,1.2048,False,88,0
002659,2026-08-04,1,11.4337,27.067669172932327,33.070866141732296,1.0,1.0,2.345349433973615,8.525727067367397,-0.2165,False,124,0
002660,2025-12-05,1,6.8858,7.7003121748178955,4.757085020242897,0.0,0.0,5.382221500756414,8.38255446183713,-2.487,False,64,0
002660,2026-08-31,1,7.5918,14.168937329700285,22.51461988304095,0.0,0.0,6.827881650298344,8.333301524715765,1.061,False,79,0
002661,2026-09-10,1,13.3916,24.031007751937977,23.870967741935488,0.0,0.0,4.18214359818111,8.589481632676355,0.576,False,34,0
002662,2025-09-22,1,3.4407,8.54922279792747,9.39947780678851,0.0,0.0,1.8924926293811126,8.329534926037285,-2.0566,False,56,0
